claw_length_cm,size_cm,tail_length_cm,species
5.507,65.896,5.648,three_toed
8.369,63.429,6.051,three_toed
7.254,64.543,4.222,three_toed
7.955,63.163,5.981,three_toed
8.434,63.55,5.154,three_toed
5.812,63.169,5.644,three_toed
7.166,63.461,5.061,three_toed
6.722,63.142,3.944,three_toed
6.741,63.827,4.438,three_toed
5.724,63.135,4.628,three_toed
7.13,64.164,2.333,three_toed
8.364,60.734,4.628,three_toed
6.787,64.107,3.855,three_toed
7.092,63.309,5.028,three_toed
6.811,63.315,4.655,three_toed
6.529,63.272,3.951,three_toed
6.877,63.149,5.864,three_toed
8.752,62.978,4.458,three_toed
7.062,63.823,3.374,three_toed
6.853,64.025,5.411,three_toed
6.571,64.153,4.259,three_toed
7.791,63.858,4.114,three_toed
7.468,63.72,5.704,three_toed
6.913,64.146,6.375,three_toed
6.758,65.289,5.042,three_toed
6.941,64.108,6.649,three_toed
7.217,62.722,5.56,three_toed
8.467,63.385,4.704,three_toed
5.521,62.737,5.341,three_toed
5.842,62.883,4.999,three_toed
6.552,62.148,4.908,three_toed
9.122,63.822,3.203,three_toed
7.959,62.326,5.193,three_toed
8.089,62.391,5.673,three_toed
7.874,64.111,7.051,three_toed
8.18,61.834,5.576,three_toed
7.704,63.203,3.619,three_toed
7.049,63.497,3.254,three_toed
9.006,63.919,2.994,three_toed
7.324,63.008,2.431,three_toed
7.641,61.96,5.485,three_toed
6.881,63.58,3.834,three_toed
6.844,63.239,6.683,three_toed
7.126,63.788,4.997,three_toed
7.079,63.497,3.971,three_toed
8.068,62.599,4.841,three_toed
6.829,63.826,6.217,three_toed
5.934,63.276,4.224,three_toed
7.17,61.929,5.176,three_toed
7.778,64.323,3.471,three_toed
6.562,63.397,4.435,three_toed
7.282,62.311,4.588,three_toed
7.878,61.963,4.906,three_toed
7.647,64.693,5.178,three_toed
6.776,64.748,5.314,three_toed
5.721,63.922,3.876,three_toed
8.919,61.831,5.552,three_toed
7.854,63.937,4.761,three_toed
7.547,65.58,4.405,three_toed
8.77,63.965,7.979,three_toed
6.11,63.558,5.209,three_toed
7.04,62.68,5.41,three_toed
9.819,64.008,2.712,three_toed
6.055,63.894,2.838,three_toed
8.015,62.666,4.232,three_toed
7.865,64.219,4.194,three_toed
9.28,63.131,5.159,three_toed
8.328,65.036,3.497,three_toed
6.311,61.537,3.099,three_toed
7.927,63.342,3.927,three_toed
6.287,65.616,3.811,three_toed
8.765,62.441,3.432,three_toed
7.351,64.213,6.192,three_toed
8.476,64.199,6.5,three_toed
7.388,64.488,4.138,three_toed
7.917,62.841,3.719,three_toed
7.348,63.949,5.032,three_toed
7.791,64.5,5.24,three_toed
8.369,62.3,7.913,three_toed
9.381,63.362,3.729,three_toed
8.307,63.43,5.897,three_toed
8.707,62.264,4.842,three_toed
7.616,62.627,6.011,three_toed
5.945,62.459,6.983,three_toed
7.826,64.114,4.159,three_toed
8.19,62.389,5.791,three_toed
7.921,63.351,4.295,three_toed
6.813,64.038,6.835,three_toed
7.676,62.983,5.04,three_toed
8,62.919,5.071,three_toed
7.71,63.064,4.406,three_toed
7.48,63.287,5.623,three_toed
6.966,64.902,5.003,three_toed
8.703,62.469,4.593,three_toed
7.116,62.741,4.801,three_toed
6.785,63.306,3.868,three_toed
7.453,63.092,5.303,three_toed
8.212,64.133,5.504,three_toed
5.488,63.099,3.512,three_toed
7.419,62.912,3.351,three_toed
7.699,63.444,4.97,three_toed
9.088,63.658,3.326,three_toed
8.477,62.916,5.815,three_toed
8.391,62.634,4.612,three_toed
6.198,64.11,5.086,three_toed
7.718,62.934,4.733,three_toed
8.314,64.239,3.934,three_toed
6.097,63.449,5.317,three_toed
6.503,63.394,5.51,three_toed
6.214,63.353,2.726,three_toed
9.169,65.45,6.511,three_toed
6.155,62.674,5.864,three_toed
7.736,64.415,4.432,three_toed
8.779,61.617,4.856,three_toed
8.396,64.366,3.416,three_toed
7.712,63.229,5.836,three_toed
9.075,64.947,7.812,three_toed
5.338,65.084,4.592,three_toed
9.043,64.195,4.797,three_toed
8.065,62.567,5.031,three_toed
6.633,63.243,5.241,three_toed
7.099,64.41,4.163,three_toed
4.953,62.571,4.681,three_toed
7.692,62.97,3.306,three_toed
6.808,63.928,4.646,three_toed
8.712,64.634,4.04,three_toed
7.642,61.896,4.679,three_toed
7.653,64.144,4.633,three_toed
8.978,62.958,3.872,three_toed
7.364,65.089,5.079,three_toed
10.161,64.398,6.665,three_toed
7.848,64.122,4.182,three_toed
7.056,65.17,4.884,three_toed
7.331,61.621,4.452,three_toed
9.428,61.877,5.315,three_toed
7.829,63.5,4.38,three_toed
7.039,66.259,5.016,three_toed
8.24,65.275,5.731,three_toed
8.175,63.26,4.261,three_toed
5.898,62.54,4.809,three_toed
8.96,63.388,5.811,three_toed
7.566,62.725,5.544,three_toed
7.826,63.109,4.463,three_toed
8.249,64.049,4.155,three_toed
8.057,63.641,4.603,three_toed
7.642,64.816,5.72,three_toed
7.699,62.964,5.389,three_toed
6.275,62.741,5.257,three_toed
7.765,62.348,4.054,three_toed
8.18,64.87,6.055,three_toed
6.845,62.313,6.167,three_toed
7.082,63.471,5.378,three_toed
7.214,64.289,4.867,three_toed
7.373,62.033,5.908,three_toed
8.38,63.395,5.392,three_toed
7.745,63.548,2.906,three_toed
8.382,63.883,4.592,three_toed
8.497,64.121,4.184,three_toed
6.321,62.941,4.434,three_toed
6.003,62.353,6.059,three_toed
7.089,62.946,4.687,three_toed
7.705,62.102,5.224,three_toed
6.672,63.358,4.388,three_toed
7.426,63.578,4.212,three_toed
6.741,64.585,5.658,three_toed
7.932,63.237,5.685,three_toed
6.943,64.138,5.052,three_toed
7.08,62.374,4.806,three_toed
7.925,62.855,4.407,three_toed
5.358,62.863,5.563,three_toed
5.696,63.699,2.851,three_toed
7.47,64.132,7.274,three_toed
7.152,62.864,3.912,three_toed
5.718,65.337,4.963,three_toed
6.704,62.882,4.23,three_toed
6.245,64.431,4.529,three_toed
6.95,64.529,4.784,three_toed
6.359,63.483,4.706,three_toed
7.867,63.36,4.294,three_toed
8.764,63.56,4.922,three_toed
5.261,64.332,5.186,three_toed
6.095,61.782,4.399,three_toed
7.228,62.931,3.523,three_toed
7.946,63.902,5.276,three_toed
6.585,62.853,4.505,three_toed
8.131,50.091,5.672,three_toed
7.811,51.556,4.755,three_toed
8.52,52.16,5.006,three_toed
8.974,49.888,5.698,three_toed
6.993,49.759,3.107,three_toed
7.942,49.723,5.245,three_toed
6.067,49.136,4.41,three_toed
6.278,47.457,4.788,three_toed
8.778,50.139,4.734,three_toed
6.492,49.258,2.098,three_toed
8.789,49.19,5.995,three_toed
7.246,51.567,6.686,three_toed
7.107,50.505,3.365,three_toed
7.047,50.441,3.289,three_toed
6.305,49.585,4.993,three_toed
5.22,48.623,6.329,three_toed
9.332,50.895,5.925,three_toed
7.562,47.752,4.558,three_toed
7.981,48.638,5.793,three_toed
6.811,49.727,4.533,three_toed
7.829,50.853,5.476,three_toed
7.926,50.336,5.555,three_toed
7.434,50.444,3.259,three_toed
7.597,51.101,5.628,three_toed
9.559,49.271,5.665,three_toed
7.444,50.429,2.824,three_toed
6.758,50.123,3.971,three_toed
6.54,50.355,4.845,three_toed
6.517,50.182,4.963,three_toed
7.13,51.481,3.215,three_toed
8.036,50.479,4.037,three_toed
8.309,48.958,5.141,three_toed
9.622,49.419,5.973,three_toed
6.807,48.778,4.916,three_toed
7.713,47.94,4.413,three_toed
8.916,50.759,5.287,three_toed
9.02,50.105,4.518,three_toed
8.588,49.929,5.073,three_toed
8.8,50.121,4.967,three_toed
6.75,49.022,5.054,three_toed
8.827,48.214,3.594,three_toed
7.933,49.914,4.025,three_toed
6.973,49.457,5.503,three_toed
8.315,50.026,4.895,three_toed
7.38,50.858,4.812,three_toed
7.322,50.973,5.717,three_toed
7.608,49.378,3.736,three_toed
6.388,51.931,3.891,three_toed
8.077,50.247,7.151,three_toed
9.007,51.818,5.477,three_toed
6.37,47.583,5.412,three_toed
5.746,49.881,5.95,three_toed
7.048,51.781,4.608,three_toed
7.39,50.401,4.406,three_toed
7.243,49.09,4.406,three_toed
7.156,50.434,3.66,three_toed
7.102,48.629,4.412,three_toed
6.582,50.461,4.809,three_toed
7.438,50.14,4.277,three_toed
7.589,49.876,5.024,three_toed
8.897,49.579,5.004,three_toed
8.037,51.18,6.618,three_toed
7.501,50.277,4.487,three_toed
6.619,49.322,5.422,three_toed
7.075,50.809,4.749,three_toed
8.087,51.631,6.163,three_toed
8.478,52.034,7.4,three_toed
8.582,50.818,4.609,three_toed
8.175,50.327,3.518,three_toed
8.729,48.571,2.949,three_toed
7.402,50.11,4.992,three_toed
8.868,48.404,7.29,three_toed
7.087,50.106,4.947,three_toed
7.062,51.525,3.351,three_toed
6.801,48.444,4.144,three_toed
9.833,50.9,5.732,three_toed
8.38,49.324,6.122,three_toed
7.909,49.188,5.125,three_toed
10.092,49.555,4.877,three_toed
5.14,48.447,5.042,three_toed
8.703,49.875,5.286,three_toed
6.107,49.883,7.01,three_toed
7.56,50.16,5.117,three_toed
7.454,49.668,3.161,three_toed
8.156,50.283,4.872,three_toed
7.773,50.233,5.113,three_toed
7.064,50.416,5.836,three_toed
7.573,49.164,4.113,three_toed
8.919,49.169,4.05,three_toed
6.547,48.178,6.205,three_toed
4.113,50.302,3.419,three_toed
8.592,50.375,6.2,three_toed
8.357,50.175,5.51,three_toed
8.121,51.714,4.53,three_toed
9.015,48.116,4.61,three_toed
7.854,50.445,4.542,three_toed
7.425,50.213,5.368,three_toed
8.143,49.188,5.491,three_toed
6.818,50.556,6.282,three_toed
9.37,50.025,6.875,three_toed
8.888,48.339,4.746,three_toed
7.013,50.644,4.404,three_toed
8.551,49.514,4.531,three_toed
5.293,50.637,6.579,three_toed
9.897,50.707,7.451,three_toed
7.578,50.659,4.215,three_toed
7.061,49.537,4.322,three_toed
6.608,49.063,5.2,three_toed
8.103,50.567,4.344,three_toed
8.36,51.891,4.723,three_toed
6.974,51.187,5.602,three_toed
7.623,49.119,4.929,three_toed
8.842,49.454,4.423,three_toed
7.748,49.366,4.484,three_toed
7.195,51.557,5.146,three_toed
9.63,49.443,3.295,three_toed
7.461,50.441,4.727,three_toed
6.979,49.888,5.838,three_toed
8.386,48.086,5.481,three_toed
6.415,48.364,5.99,three_toed
6.787,48.801,4.164,three_toed
8.619,52.227,2.836,three_toed
9.045,48.682,2.359,three_toed
7.594,49.542,3.598,three_toed
6.687,51.801,5.071,three_toed
8.239,50.164,6.599,three_toed
7.97,50.033,5.281,three_toed
6.246,52.758,5.199,three_toed
7.643,50.173,4.482,three_toed
8.129,49.262,6.061,three_toed
7.607,51.065,3.87,three_toed
7.41,50.694,5.826,three_toed
10.184,48.641,4.99,three_toed
6.242,47.945,5.846,three_toed
6.491,50.685,4.159,three_toed
7.292,49.573,6.399,three_toed
7.798,48.127,5.094,three_toed
5.951,52.399,5.532,three_toed
8.049,50.153,5.006,three_toed
7.035,48.382,3.018,three_toed
7.232,48.869,5.028,three_toed
8.02,50.797,4.814,three_toed
7.759,50.054,3.522,three_toed
7.876,48.991,3.241,three_toed
7.334,49.926,4.722,three_toed
7.744,49.526,4.706,three_toed
8.095,49.178,4.506,three_toed
8.596,49.921,4.3,three_toed
6.866,49.133,4.176,three_toed
5.332,50.037,4.996,three_toed
8.74,50.77,5.292,three_toed
8.799,48.872,6.082,three_toed
5.495,50.861,4.147,three_toed
6.681,49.769,6.327,three_toed
6.775,48.566,6.181,three_toed
8.749,48.542,3.805,three_toed
9.403,49.444,3.191,three_toed
8.279,50.743,5.104,three_toed
6.023,49.586,6.293,three_toed
7.375,49.658,4.127,three_toed
6.952,50.09,6.772,three_toed
5.839,49.312,3.408,three_toed
8.853,49.503,5.117,three_toed
8.578,50.753,5.431,three_toed
7.305,50.576,3.607,three_toed
7.648,50.976,5.041,three_toed
5.7,49.965,4.939,three_toed
7.582,50.146,7.606,three_toed
7.64,46.928,5.409,three_toed
8.943,48.647,5.154,three_toed
7.683,50.872,5.327,three_toed
8.165,50.698,5.403,three_toed
7.884,51.466,5.127,three_toed
8.74,50.231,4.235,three_toed
6.371,50.548,2.722,three_toed
5.343,52.162,6.075,three_toed
6.297,49.878,4.004,three_toed
5.459,48.994,7.615,three_toed
8.008,49.118,5.007,three_toed
6.277,49.319,5.447,three_toed
8.886,49.416,3.018,three_toed
6.971,51.382,4.952,three_toed
6.439,50.162,5.788,three_toed
9.163,48.412,4.902,three_toed
7.944,48.903,6.895,three_toed
6.265,50.774,4.818,three_toed
8.217,50.431,4.391,three_toed
7.602,50.501,7.18,three_toed
8.477,50.618,4.039,three_toed
7.399,49.622,5.608,three_toed
8.86,50.152,5.425,three_toed
8.204,49.211,5.399,three_toed
7.659,49.273,5.084,three_toed
9.164,48.832,5.437,three_toed
7.235,50.05,5.797,three_toed
6.273,49.958,6.893,three_toed
7.381,49.518,4.49,three_toed
7.172,48.587,5.203,three_toed
7.853,51.203,5.706,three_toed
8.915,51.006,4.897,three_toed
8.147,49.135,5.286,three_toed
7.343,51.826,4.323,three_toed
7.91,49.999,5.085,three_toed
7.267,50.001,5.603,three_toed
7.062,50.594,5.517,three_toed
8.482,49.347,4.906,three_toed
7.906,50.238,4.708,three_toed
7.819,50.102,3.411,three_toed
7.617,50.14,5.361,three_toed
5.619,50.968,5.179,three_toed
6.612,49.504,4.926,three_toed
