,claw_length_cm,size_cm,specie,tail_length_cm
57,8.465,51.984,three_toed,4.237
58,5.297,49.46,three_toed,5.747
59,8.171,51.354,three_toed,5.029
60,8.437,50.565,three_toed,5.246
61,8.859,51.305,three_toed,6.286
62,8.065,51.681,three_toed,3.646
63,7.489,51.2,three_toed,5.941
64,6.901,48.936,three_toed,5.849
65,7.255,49.716,three_toed,4.914
66,8.609,51.726,three_toed,6.883
67,9.072,50.969,three_toed,7.299
68,6.319,49.303,three_toed,4.1
69,8.051,49.588,three_toed,3.395
70,8.544,52.075,three_toed,4.812
71,7.021,49.596,three_toed,6.118
72,8.83,50.115,three_toed,6.198
73,5.746,65.815,three_toed,5.069
74,9.977,63.677,three_toed,5.464
75,8.857,64.526,three_toed,6.742
76,8.941,63.789,three_toed,5.25
77,7.825,63.747,three_toed,5.422
78,7.016,66.549,three_toed,3.458
79,6.075,62.638,three_toed,3.914
80,8.178,63.911,three_toed,4.035
81,6.514,64.194,three_toed,5.8
82,7.306,61.993,three_toed,4.181
83,4.947,63.264,three_toed,3.379
84,7.925,62.745,three_toed,5.687
85,6.789,63.175,three_toed,5.129
86,7.139,64.098,three_toed,3.992
87,7.098,61.599,three_toed,5.114
88,6.801,63.303,three_toed,2.107
89,7.99,63.415,three_toed,3.887
90,8.055,62.183,three_toed,4.548
91,7.213,62.6,three_toed,5.874
92,8.192,63.249,three_toed,5.283
93,8.5,62.524,three_toed,5.003
94,4.628,61.865,three_toed,2.616
95,8.598,63.073,three_toed,4.241
96,6.629,63.003,three_toed,5.885
97,10.012,63.308,three_toed,4.028
98,7.919,63.978,three_toed,5.069
99,8.543,61.204,three_toed,5.642
100,6.928,64.074,three_toed,4.99
101,8.1,62.491,three_toed,5.675
102,7.637,65.444,three_toed,5.307
103,8.584,65.054,three_toed,6.456
104,8.004,64.306,three_toed,6.093
105,6.976,63.189,three_toed,4.905
106,7.791,63.942,three_toed,5.947
107,6.438,63.834,three_toed,4.653
108,8.11,63.708,three_toed,5.672
109,7.563,63.22,three_toed,5.225
110,8.003,63.146,three_toed,3.655
111,7.467,64.823,three_toed,4.544
112,7.483,63.974,three_toed,5.24
113,7.129,64.528,three_toed,5.328
114,7.154,64.282,three_toed,4.861
115,8.978,61.977,three_toed,4.151
116,7.268,61.703,three_toed,4.935
117,7.045,62.952,three_toed,5.412
118,6.674,64.169,three_toed,4.574
119,5.298,64.139,three_toed,6.986
120,6.765,64.484,three_toed,7.348
121,7.215,65.057,three_toed,3.841
122,9.341,63.135,three_toed,5.712
123,7.003,62.148,three_toed,4.887
124,7.126,62.356,three_toed,2.835
125,6.039,63.989,three_toed,5.699
126,7.652,63.205,three_toed,6.265
127,7.084,65.176,three_toed,4.118
128,6.884,62.845,three_toed,4.214
129,7.156,63.034,three_toed,5.713
130,6.631,63.738,three_toed,5.652
131,8.3,62.134,three_toed,3.748
132,7.669,62.638,three_toed,4.821
133,5.872,64.69,three_toed,4.964
134,7.196,63.364,three_toed,4.786
135,7.046,64.604,three_toed,3.823
136,6.4,65.015,three_toed,6.268
137,6.432,63.064,three_toed,5.732
138,8.349,63.066,three_toed,4.642
139,6.696,63.073,three_toed,4.914
140,6.143,62.76,three_toed,6.698
141,7.121,64.721,three_toed,4.865
142,7.888,62.333,three_toed,4.663
143,8.033,64.321,three_toed,4.198
144,8.434,63.629,three_toed,4.738
145,6.706,63.676,three_toed,3.575
146,7.79,62.203,three_toed,3.814
147,9.013,63.051,three_toed,4.001
148,7.715,63.971,three_toed,5.733
149,7.804,63.218,three_toed,5.199
150,8.154,63.618,three_toed,2.526
151,7.794,63.957,three_toed,5.257
152,6.647,63.525,three_toed,4.101
153,7.423,62.331,three_toed,4.752
154,8.15,63.207,three_toed,3.58
155,9.738,63.562,three_toed,4.508
156,6.19,61.987,three_toed,4.331
157,8.826,64.488,three_toed,4.32
158,9.383,64.055,three_toed,5.889
159,7.592,64.316,three_toed,2.963
160,6.946,64.423,three_toed,4.242
161,7.667,64.312,three_toed,4.738
162,7.6,62.699,three_toed,5.579
163,7.789,64.287,three_toed,4.881
164,7.69,62.524,three_toed,5.805
165,6.412,63.749,three_toed,3.961
166,5.7,61.946,three_toed,4.257
167,6.692,63.378,three_toed,7.262
168,7.455,62.357,three_toed,4.629
169,8.522,63.937,three_toed,4.73
170,7.804,64.829,three_toed,4.566
171,7.475,62.713,three_toed,5.26
172,7.662,64.995,three_toed,5.33
173,6.05,63.637,three_toed,4.612
174,8.303,64.857,three_toed,5.493
175,6.16,64.326,three_toed,5.128
176,9.38,65.837,three_toed,4.894
177,8.289,63.384,three_toed,5.021
178,7.931,64.22,three_toed,3.006
179,7.258,64.128,three_toed,5.246
180,9.019,61.702,three_toed,4.898
181,6.844,64.31,three_toed,3.152
182,7.525,61.507,three_toed,3.361
183,7.262,63.678,three_toed,4.989
184,5.693,62.684,three_toed,4.545
185,8.766,62.454,three_toed,6.256
186,6.098,64.251,three_toed,3.006
187,10.281,64.186,three_toed,3.827
188,6.57,64.369,three_toed,6.378
189,8.351,62.249,three_toed,4.297
190,7.854,64.309,three_toed,5.848
191,8.147,65.173,three_toed,5.496
192,8.664,61.723,three_toed,5.507
193,6.207,64.5,three_toed,3.859
194,7.142,64.038,three_toed,4.171
195,7.99,62.65,three_toed,6.114
196,6.3,63.686,three_toed,4.376
197,8.697,62.256,three_toed,4.129
198,5.876,65.015,three_toed,3.224
199,7.09,63.53,three_toed,6.137
200,9.365,62.094,three_toed,4.321
201,5.936,62.92,three_toed,4.966
202,8.32,64.523,three_toed,4.952
203,6.375,61.809,three_toed,4.425
204,7.072,63.023,three_toed,6.715
205,8.041,65.159,three_toed,3.643
206,8.914,64.757,three_toed,4.681
207,10,62.688,three_toed,4.54
208,6.807,63.262,three_toed,4.576
209,7.44,61.337,three_toed,3.416
210,7.539,64.871,three_toed,4.196
211,6.152,64.478,three_toed,4.143
212,8.561,64.593,three_toed,3.687
213,6.799,65.383,three_toed,2.913
214,8.206,61.442,three_toed,6.036
215,6.187,62.061,three_toed,4.258
216,8.921,64.373,three_toed,3.808
217,6.559,63.081,three_toed,2.018
218,6.67,63.702,three_toed,5.91
219,8.212,63.978,three_toed,3.924
220,8.134,62.468,three_toed,4.536
221,7.522,65.305,three_toed,6.538
222,8.702,63.607,three_toed,4.333
223,6.849,64.24,three_toed,2.966
224,5.097,60.906,three_toed,4.095
225,5.705,62.847,three_toed,5.941
226,7.986,62.981,three_toed,5.936
227,5.856,63.464,three_toed,4.05
228,7.1,61.642,three_toed,4.956
229,7.93,63.799,three_toed,4.975
230,8.129,64.019,three_toed,4.641
231,7.274,63.147,three_toed,6.363
232,8.294,62.804,three_toed,4.934
233,7.008,62.967,three_toed,5.437
234,7.242,63.616,three_toed,5.43
235,7.041,63.985,three_toed,5.511
236,7.579,63.101,three_toed,4.174
237,7.939,62.701,three_toed,4.765
238,8.118,65.036,three_toed,3.319
239,8.264,64.423,three_toed,4.654
240,7.491,63.17,three_toed,4.316
241,9.275,62.885,three_toed,4.396
242,8.77,61.936,three_toed,4.868
243,8.914,64.381,three_toed,4.512
244,9.255,63.147,three_toed,6.084
245,7.233,64.541,three_toed,4.95
246,7.249,63.532,three_toed,2.677
247,8.1,64.488,three_toed,3.864
248,6.139,62.8,three_toed,5.208
249,7.101,62.291,three_toed,3.793
250,9.211,62.639,three_toed,4.396
251,7.032,65.962,three_toed,4.971
252,7.906,63.639,three_toed,6.189
253,7.545,63.488,three_toed,4.385
254,8.861,63.503,three_toed,4.157
255,6.896,62.811,three_toed,6.267
256,6.546,64.309,three_toed,4.593
257,9.411,62.424,three_toed,5.877
258,6.086,63.904,three_toed,5.909
259,7.88,63.456,three_toed,5.85
260,7.935,62.824,three_toed,5.196
261,7.109,62.739,three_toed,5.541
262,6.366,63.424,three_toed,5.847
263,6.982,62.471,three_toed,4.297
264,6.905,63.459,three_toed,4.851
265,6.422,62.809,three_toed,3.671
266,7.062,64.996,three_toed,3.396
267,5.749,60.699,three_toed,5.258
268,7.144,64.116,three_toed,3.936
269,6.978,62.094,three_toed,5.933
270,7.124,63.765,three_toed,7.195
271,10.342,64.229,three_toed,6.616
272,7.808,62.714,three_toed,5.5
273,7.54,64.27,three_toed,5.772
274,7.917,63.753,three_toed,4.952
275,7.737,63.078,three_toed,4.568
276,6.369,63.83,three_toed,4.088
277,7.11,63.825,three_toed,5.281
278,7.09,62.236,three_toed,5.794
279,7.777,63.267,three_toed,4.767
280,7.809,63.268,three_toed,5.056
281,6.305,62.909,three_toed,7.107
282,7.316,64.309,three_toed,5.996
283,7.029,64.918,three_toed,4.855
284,6.638,62.981,three_toed,4.398
285,8.002,63.051,three_toed,4.891
286,7.03,63.156,three_toed,4.234
287,8.277,63.443,three_toed,5.033
288,7.546,62.909,three_toed,5.521
289,5.462,62.918,three_toed,3.295
290,8.975,64.295,three_toed,4.873
291,9.347,65.115,three_toed,1.783
292,10.511,63.946,three_toed,6.559
293,9.458,62.154,three_toed,4.835
294,6.782,62.818,three_toed,6.381
295,7.201,62.548,three_toed,3.975
296,5.918,63.596,three_toed,4.245
297,6.899,63.233,three_toed,4.163
298,9.422,64.178,three_toed,6.34
299,8.162,64.121,three_toed,5.87
300,6.633,63.959,three_toed,5.569
301,8.413,63.776,three_toed,6.469
302,5.004,63.055,three_toed,4.889
303,7.159,62.337,three_toed,5.087
304,6.973,63.342,three_toed,4.631
305,7.898,62.384,three_toed,4.984
306,7.887,63.452,three_toed,4.724
307,7.364,64.377,three_toed,1.112
308,6.403,62.647,three_toed,3.505
309,7.173,64.081,three_toed,3.958
310,8.808,63.704,three_toed,3.732
311,7.058,62.734,three_toed,6.096
312,8.866,63.967,three_toed,5.276
313,8.224,65.008,three_toed,5.965
314,8.159,62.576,three_toed,4.359
315,10.179,62.822,three_toed,4.565
316,7.466,63.895,three_toed,4.655
317,7.393,62.166,three_toed,6.597
318,8.105,63.257,three_toed,4.561
319,7.114,63.712,three_toed,4.15
320,8.817,63.353,three_toed,4.418
321,7.685,62.622,three_toed,4.3
322,7.864,63.248,three_toed,5.351
323,7.399,63.836,three_toed,5.797
324,8.667,62.118,three_toed,5.001
325,5.695,62.67,three_toed,5.057
326,7.455,61.481,three_toed,4.66
327,6.704,63.896,three_toed,4.464
328,6.418,61.505,three_toed,5.916
329,9.479,62.626,three_toed,5.177
330,4.999,63.586,three_toed,4.697
331,7.651,64.602,three_toed,4.144
332,7.92,63.145,three_toed,6.4
333,6.548,65.432,three_toed,5.377
334,6.795,63.084,three_toed,4.928
335,7.859,63.999,three_toed,5.537
336,8.304,63.249,three_toed,5.101
337,6.438,63.47,three_toed,6.572
338,8.185,61.542,three_toed,5.006
339,9.009,62.897,three_toed,4.733
340,6.8,63.232,three_toed,4.807
341,6.404,64.161,three_toed,2.829
342,7.871,65.494,three_toed,5.609
343,6.529,62.786,three_toed,3.414
344,7.001,63.95,three_toed,4.135
345,7.891,64.9,three_toed,4.559
346,7.808,62.75,three_toed,4.235
347,9.158,61.981,three_toed,6.13
348,9.035,64.503,three_toed,6.355
349,6.945,63.602,three_toed,5.574
350,8,61.541,three_toed,5.084
351,7.493,63.116,three_toed,5.611
352,7.125,63.416,three_toed,5.327
353,7.92,62.121,three_toed,6.196
354,6.501,63.341,three_toed,3.629
355,7.344,64.65,three_toed,6.45
356,7.757,63.232,three_toed,5.619
357,7.422,63.587,three_toed,7.141
358,7.966,62.811,three_toed,5.366
359,8.515,63.786,three_toed,3.877
360,7.49,63.146,three_toed,3.996
361,7.132,63.713,three_toed,4.866
362,6.511,63.052,three_toed,4.992
363,8.67,63.035,three_toed,4.918
364,6.351,63.3,three_toed,4.343
365,6.933,63.202,three_toed,4.278
366,6.466,62.332,three_toed,5.011
367,6.887,63.374,three_toed,4.517
368,8.308,63.154,three_toed,4.604
369,6.801,63.156,three_toed,4.714
370,6.789,63.724,three_toed,5.594
371,5.586,63.745,three_toed,5.585
372,6.412,62.971,three_toed,6.572
373,7.473,63.798,three_toed,5.394
374,7.17,64.941,three_toed,6.17
375,6.239,61.503,three_toed,4.203
376,7.98,62.666,three_toed,6.315
377,6.469,61.927,three_toed,4.343
378,7.185,62.947,three_toed,5.168
379,7.077,64.353,three_toed,4.203
380,9.263,62.408,three_toed,5.778
381,5.808,64.193,three_toed,5.277
382,7.763,64.659,three_toed,4.189
383,7.297,63.194,three_toed,5.059
384,8.459,63.871,three_toed,5.24
385,7.715,62.709,three_toed,5.162
386,7.758,65.701,three_toed,5.385
387,7.215,63.814,three_toed,5.422
388,8.997,62.35,three_toed,3.767
389,8.769,63.018,three_toed,4.494
390,7.973,61.903,three_toed,4.718
391,6.749,63.106,three_toed,3.416
392,6.005,64.841,three_toed,3.863
393,6.68,63.835,three_toed,4.69
394,7.324,61.995,three_toed,5.34
395,6.602,62.025,three_toed,6.266
396,6.878,65.231,three_toed,5.506
397,10.129,63.701,three_toed,4.97
398,7.477,61.589,three_toed,4.921
399,8.916,64.102,three_toed,4.436
400,7.552,64.627,three_toed,4.559
401,6.56,64.43,three_toed,5.109
402,7.692,63.042,three_toed,4.008
403,6.106,63.692,three_toed,7.458
404,9.388,63.418,three_toed,5.632
405,8.722,64.926,three_toed,4.625
406,9.257,64.876,three_toed,4.895
407,7.998,64.637,three_toed,7.774
408,7.898,61.238,three_toed,3.078
409,6.411,64.025,three_toed,4.07
410,7.831,63.953,three_toed,3.835
411,6.249,62.934,three_toed,4.254
412,7.252,62.93,three_toed,5.532
413,7.113,63.059,three_toed,4.411
414,8.391,63.367,three_toed,3.113
415,6.997,62.554,three_toed,3.773
416,7.537,63.452,three_toed,6.1
417,7.813,62.764,three_toed,4.572
418,7.86,63.164,three_toed,7.401
419,8.463,62.109,three_toed,6.179
420,7.526,64.741,three_toed,4.681
421,7.563,63.918,three_toed,4.882
422,8.192,63.859,three_toed,6.606
423,7.109,63.13,three_toed,6.539
424,7.51,61.77,three_toed,4.534
425,5.507,65.896,three_toed,5.648
426,8.369,63.429,three_toed,6.051
427,7.254,64.543,three_toed,4.222
428,7.955,63.163,three_toed,5.981
429,8.434,63.55,three_toed,5.154
430,5.812,63.169,three_toed,5.644
431,7.166,63.461,three_toed,5.061
432,6.722,63.142,three_toed,3.944
433,6.741,63.827,three_toed,4.438
434,5.724,63.135,three_toed,4.628
435,7.13,64.164,three_toed,2.333
436,8.364,60.734,three_toed,4.628
437,6.787,64.107,three_toed,3.855
438,7.092,63.309,three_toed,5.028
439,6.811,63.315,three_toed,4.655
440,6.529,63.272,three_toed,3.951
441,6.877,63.149,three_toed,5.864
442,8.752,62.978,three_toed,4.458
443,7.062,63.823,three_toed,3.374
444,6.853,64.025,three_toed,5.411
445,6.571,64.153,three_toed,4.259
446,7.791,63.858,three_toed,4.114
447,7.468,63.72,three_toed,5.704
448,6.913,64.146,three_toed,6.375
449,6.758,65.289,three_toed,5.042
450,6.941,64.108,three_toed,6.649
451,7.217,62.722,three_toed,5.56
452,8.467,63.385,three_toed,4.704
453,5.521,62.737,three_toed,5.341
454,5.842,62.883,three_toed,4.999
455,6.552,62.148,three_toed,4.908
456,9.122,63.822,three_toed,3.203
457,7.959,62.326,three_toed,5.193
458,8.089,62.391,three_toed,5.673
459,7.874,64.111,three_toed,7.051
460,8.18,61.834,three_toed,5.576
461,7.704,63.203,three_toed,3.619
462,7.049,63.497,three_toed,3.254
463,9.006,63.919,three_toed,2.994
464,7.324,63.008,three_toed,2.431
465,7.641,61.96,three_toed,5.485
466,6.881,63.58,three_toed,3.834
467,6.844,63.239,three_toed,6.683
468,7.126,63.788,three_toed,4.997
469,7.079,63.497,three_toed,3.971
470,8.068,62.599,three_toed,4.841
471,6.829,63.826,three_toed,6.217
472,5.934,63.276,three_toed,4.224
473,7.17,61.929,three_toed,5.176
474,7.778,64.323,three_toed,3.471
475,6.562,63.397,three_toed,4.435
476,7.282,62.311,three_toed,4.588
477,7.878,61.963,three_toed,4.906
478,7.647,64.693,three_toed,5.178
479,6.776,64.748,three_toed,5.314
480,5.721,63.922,three_toed,3.876
481,8.919,61.831,three_toed,5.552
482,7.854,63.937,three_toed,4.761
483,7.547,65.58,three_toed,4.405
484,8.77,63.965,three_toed,7.979
485,6.11,63.558,three_toed,5.209
486,7.04,62.68,three_toed,5.41
487,9.819,64.008,three_toed,2.712
488,6.055,63.894,three_toed,2.838
489,8.015,62.666,three_toed,4.232
490,7.865,64.219,three_toed,4.194
491,9.28,63.131,three_toed,5.159
492,8.328,65.036,three_toed,3.497
493,6.311,61.537,three_toed,3.099
494,7.927,63.342,three_toed,3.927
495,6.287,65.616,three_toed,3.811
496,8.765,62.441,three_toed,3.432
497,7.351,64.213,three_toed,6.192
498,8.476,64.199,three_toed,6.5
499,7.388,64.488,three_toed,4.138
500,7.917,62.841,three_toed,3.719
501,7.348,63.949,three_toed,5.032
502,7.791,64.5,three_toed,5.24
503,8.369,62.3,three_toed,7.913
504,9.381,63.362,three_toed,3.729
505,8.307,63.43,three_toed,5.897
506,8.707,62.264,three_toed,4.842
507,7.616,62.627,three_toed,6.011
508,5.945,62.459,three_toed,6.983
509,7.826,64.114,three_toed,4.159
510,8.19,62.389,three_toed,5.791
511,7.921,63.351,three_toed,4.295
512,6.813,64.038,three_toed,6.835
513,7.676,62.983,three_toed,5.04
514,8,62.919,three_toed,5.071
515,7.71,63.064,three_toed,4.406
516,7.48,63.287,three_toed,5.623
517,6.966,64.902,three_toed,5.003
518,8.703,62.469,three_toed,4.593
519,7.116,62.741,three_toed,4.801
520,6.785,63.306,three_toed,3.868
521,7.453,63.092,three_toed,5.303
522,8.212,64.133,three_toed,5.504
523,5.488,63.099,three_toed,3.512
524,7.419,62.912,three_toed,3.351
525,7.699,63.444,three_toed,4.97
526,9.088,63.658,three_toed,3.326
527,8.477,62.916,three_toed,5.815
528,8.391,62.634,three_toed,4.612
529,6.198,64.11,three_toed,5.086
530,7.718,62.934,three_toed,4.733
531,8.314,64.239,three_toed,3.934
532,6.097,63.449,three_toed,5.317
533,6.503,63.394,three_toed,5.51
534,6.214,63.353,three_toed,2.726
535,9.169,65.45,three_toed,6.511
536,6.155,62.674,three_toed,5.864
537,7.736,64.415,three_toed,4.432
538,8.779,61.617,three_toed,4.856
539,8.396,64.366,three_toed,3.416
540,7.712,63.229,three_toed,5.836
541,9.075,64.947,three_toed,7.812
542,5.338,65.084,three_toed,4.592
543,9.043,64.195,three_toed,4.797
544,8.065,62.567,three_toed,5.031
545,6.633,63.243,three_toed,5.241
546,7.099,64.41,three_toed,4.163
547,4.953,62.571,three_toed,4.681
548,7.692,62.97,three_toed,3.306
549,6.808,63.928,three_toed,4.646
550,8.712,64.634,three_toed,4.04
551,7.642,61.896,three_toed,4.679
552,7.653,64.144,three_toed,4.633
553,8.978,62.958,three_toed,3.872
554,7.364,65.089,three_toed,5.079
555,10.161,64.398,three_toed,6.665
556,7.848,64.122,three_toed,4.182
557,7.056,65.17,three_toed,4.884
558,7.331,61.621,three_toed,4.452
559,9.428,61.877,three_toed,5.315
560,7.829,63.5,three_toed,4.38
561,7.039,66.259,three_toed,5.016
562,8.24,65.275,three_toed,5.731
563,8.175,63.26,three_toed,4.261
564,5.898,62.54,three_toed,4.809
565,8.96,63.388,three_toed,5.811
566,7.566,62.725,three_toed,5.544
567,7.826,63.109,three_toed,4.463
568,8.249,64.049,three_toed,4.155
569,8.057,63.641,three_toed,4.603
570,7.642,64.816,three_toed,5.72
571,7.699,62.964,three_toed,5.389
572,6.275,62.741,three_toed,5.257
573,7.765,62.348,three_toed,4.054
574,8.18,64.87,three_toed,6.055
575,6.845,62.313,three_toed,6.167
576,7.082,63.471,three_toed,5.378
577,7.214,64.289,three_toed,4.867
578,7.373,62.033,three_toed,5.908
579,8.38,63.395,three_toed,5.392
580,7.745,63.548,three_toed,2.906
581,8.382,63.883,three_toed,4.592
582,8.497,64.121,three_toed,4.184
583,6.321,62.941,three_toed,4.434
584,6.003,62.353,three_toed,6.059
585,7.089,62.946,three_toed,4.687
586,7.705,62.102,three_toed,5.224
587,6.672,63.358,three_toed,4.388
588,7.426,63.578,three_toed,4.212
589,6.741,64.585,three_toed,5.658
590,7.932,63.237,three_toed,5.685
591,6.943,64.138,three_toed,5.052
592,7.08,62.374,three_toed,4.806
593,7.925,62.855,three_toed,4.407
594,5.358,62.863,three_toed,5.563
595,5.696,63.699,three_toed,2.851
596,7.47,64.132,three_toed,7.274
597,7.152,62.864,three_toed,3.912
598,5.718,65.337,three_toed,4.963
599,6.704,62.882,three_toed,4.23
600,6.245,64.431,three_toed,4.529
601,6.95,64.529,three_toed,4.784
602,6.359,63.483,three_toed,4.706
603,7.867,63.36,three_toed,4.294
604,8.764,63.56,three_toed,4.922
605,5.261,64.332,three_toed,5.186
606,6.095,61.782,three_toed,4.399
607,7.228,62.931,three_toed,3.523
608,7.946,63.902,three_toed,5.276
609,6.585,62.853,three_toed,4.505
610,8.131,50.091,three_toed,5.672
611,7.811,51.556,three_toed,4.755
612,8.52,52.16,three_toed,5.006
613,8.974,49.888,three_toed,5.698
614,6.993,49.759,three_toed,3.107
615,7.942,49.723,three_toed,5.245
616,6.067,49.136,three_toed,4.41
617,6.278,47.457,three_toed,4.788
618,8.778,50.139,three_toed,4.734
619,6.492,49.258,three_toed,2.098
620,8.789,49.19,three_toed,5.995
621,7.246,51.567,three_toed,6.686
622,7.107,50.505,three_toed,3.365
623,7.047,50.441,three_toed,3.289
624,6.305,49.585,three_toed,4.993
625,5.22,48.623,three_toed,6.329
626,9.332,50.895,three_toed,5.925
627,7.562,47.752,three_toed,4.558
628,7.981,48.638,three_toed,5.793
629,6.811,49.727,three_toed,4.533
630,7.829,50.853,three_toed,5.476
631,7.926,50.336,three_toed,5.555
632,7.434,50.444,three_toed,3.259
633,7.597,51.101,three_toed,5.628
634,9.559,49.271,three_toed,5.665
635,7.444,50.429,three_toed,2.824
636,6.758,50.123,three_toed,3.971
637,6.54,50.355,three_toed,4.845
638,6.517,50.182,three_toed,4.963
639,7.13,51.481,three_toed,3.215
640,8.036,50.479,three_toed,4.037
641,8.309,48.958,three_toed,5.141
642,9.622,49.419,three_toed,5.973
643,6.807,48.778,three_toed,4.916
644,7.713,47.94,three_toed,4.413
645,8.916,50.759,three_toed,5.287
646,9.02,50.105,three_toed,4.518
647,8.588,49.929,three_toed,5.073
648,8.8,50.121,three_toed,4.967
649,6.75,49.022,three_toed,5.054
650,8.827,48.214,three_toed,3.594
651,7.933,49.914,three_toed,4.025
652,6.973,49.457,three_toed,5.503
653,8.315,50.026,three_toed,4.895
654,7.38,50.858,three_toed,4.812
655,7.322,50.973,three_toed,5.717
656,7.608,49.378,three_toed,3.736
657,6.388,51.931,three_toed,3.891
658,8.077,50.247,three_toed,7.151
659,9.007,51.818,three_toed,5.477
660,6.37,47.583,three_toed,5.412
661,5.746,49.881,three_toed,5.95
662,7.048,51.781,three_toed,4.608
663,7.39,50.401,three_toed,4.406
664,7.243,49.09,three_toed,4.406
665,7.156,50.434,three_toed,3.66
666,7.102,48.629,three_toed,4.412
667,6.582,50.461,three_toed,4.809
668,7.438,50.14,three_toed,4.277
669,7.589,49.876,three_toed,5.024
670,8.897,49.579,three_toed,5.004
671,8.037,51.18,three_toed,6.618
672,7.501,50.277,three_toed,4.487
673,6.619,49.322,three_toed,5.422
674,7.075,50.809,three_toed,4.749
675,8.087,51.631,three_toed,6.163
676,8.478,52.034,three_toed,7.4
677,8.582,50.818,three_toed,4.609
678,8.175,50.327,three_toed,3.518
679,8.729,48.571,three_toed,2.949
680,7.402,50.11,three_toed,4.992
681,8.868,48.404,three_toed,7.29
682,7.087,50.106,three_toed,4.947
683,7.062,51.525,three_toed,3.351
684,6.801,48.444,three_toed,4.144
685,9.833,50.9,three_toed,5.732
686,8.38,49.324,three_toed,6.122
687,7.909,49.188,three_toed,5.125
688,10.092,49.555,three_toed,4.877
689,5.14,48.447,three_toed,5.042
690,8.703,49.875,three_toed,5.286
691,6.107,49.883,three_toed,7.01
692,7.56,50.16,three_toed,5.117
693,7.454,49.668,three_toed,3.161
694,8.156,50.283,three_toed,4.872
695,7.773,50.233,three_toed,5.113
696,7.064,50.416,three_toed,5.836
697,7.573,49.164,three_toed,4.113
698,8.919,49.169,three_toed,4.05
699,6.547,48.178,three_toed,6.205
700,4.113,50.302,three_toed,3.419
701,8.592,50.375,three_toed,6.2
702,8.357,50.175,three_toed,5.51
703,8.121,51.714,three_toed,4.53
704,9.015,48.116,three_toed,4.61
705,7.854,50.445,three_toed,4.542
706,7.425,50.213,three_toed,5.368
707,8.143,49.188,three_toed,5.491
708,6.818,50.556,three_toed,6.282
709,9.37,50.025,three_toed,6.875
710,8.888,48.339,three_toed,4.746
711,7.013,50.644,three_toed,4.404
712,8.551,49.514,three_toed,4.531
713,5.293,50.637,three_toed,6.579
714,9.897,50.707,three_toed,7.451
715,7.578,50.659,three_toed,4.215
716,7.061,49.537,three_toed,4.322
717,6.608,49.063,three_toed,5.2
718,8.103,50.567,three_toed,4.344
719,8.36,51.891,three_toed,4.723
720,6.974,51.187,three_toed,5.602
721,7.623,49.119,three_toed,4.929
722,8.842,49.454,three_toed,4.423
723,7.748,49.366,three_toed,4.484
724,7.195,51.557,three_toed,5.146
725,9.63,49.443,three_toed,3.295
726,7.461,50.441,three_toed,4.727
727,6.979,49.888,three_toed,5.838
728,8.386,48.086,three_toed,5.481
729,6.415,48.364,three_toed,5.99
730,6.787,48.801,three_toed,4.164
731,8.619,52.227,three_toed,2.836
732,9.045,48.682,three_toed,2.359
733,7.594,49.542,three_toed,3.598
